Program Version:,EnergyPlus, Version 22.2.0-c249759bad, YMD=2023.05.28 19:20
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ3A+elecres+slab+IECC_2015
Environment:,ANNUAL ** Dallas Fort Worth Intl Ap TX USA TMY3 WMO#=722590

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over       672.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,8.35,25.21,37.82
,Net Site Energy,8.35,25.21,37.82
,Total Source Energy,26.45,79.84,119.77
,Net Source Energy,26.45,79.84,119.77


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,331.23
,Net Conditioned Building Area,220.82
,Unconditioned Building Area,110.41


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,Heating,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.83
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,8.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.83
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
,1,LIVING_UNIT1,0.0,0.00,0.00,0.00,6.07,4.55,2.60,1,1,1,0.00,12.13,0.00,9.10,1.01E-002,5.19,3.89,482.75,TARP,DOE-2,220.82,220.10,183.37,33.01,11,9,4,Yes
,2,ATTIC_UNIT1,0.0,0.00,0.00,0.00,6.07,4.55,5.59,1,1,1,0.00,12.13,0.00,9.10,5.19,6.70,0.75,83.17,TARP,DOE-2,110.41,13.71,13.71,0.00,5,0,0,Yes


Zone Internal Gains Nominal

,,Zone Name,Floor Area {m2},# Occupants,Area per Occupant {m2/person},Occupant per Area {person/m2},Interior Lighting {W/m2},Electric Load {W/m2},Gas Load {W/m2},Other Load {W/m2},Hot Water Eq {W/m2},Steam Equipment {W/m2},Sum Loads per Area {W/m2},Outdoor Controlled Baseboard Heat
,1,LIVING_UNIT1,220.82,3.0,73.606,1.359E-002,1.750,7.041,0.000,0.000,0.000,0.000,8.791,No
,2,ATTIC_UNIT1,110.41,0.0,N/A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No


People Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Number of People {},People/Floor Area {person/m2},Floor Area per person {m2/person},Fraction Radiant,Fraction Convected,Sensible Fraction Calculation,Activity level,ASHRAE 55 Warnings,Carbon Dioxide Generation Rate,Nominal Minimum Number of People,Nominal Maximum Number of People
,1,PEOPLE_UNIT1,OCCUPANCY,LIVING_UNIT1,220.82,3.0,3.0,1.359E-002,73.606,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,1,3


Lights Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Lighting Level {W},Lights/Floor Area {W/m2},Lights per person {W/person},Fraction Return Air,Fraction Radiant,Fraction Short Wave,Fraction Convected,Fraction Replaceable,End-Use Category,Nominal Minimum Lighting Level {W},Nominal Maximum Lighting Level {W}
,1,LIVING HARDWIRED LIGHTING1,INTERIORLIGHTINGHE,LIVING_UNIT1,220.82,3.0,280.735,1.271,93.578,0.000,0.600,0.200,0.200,0.000,General,19.301,280.735
,2,LIVING PLUG-IN LIGHTING1,INTERIORLIGHTINGHE,LIVING_UNIT1,220.82,3.0,105.654,0.478,35.218,0.000,0.600,0.200,0.200,0.000,General,7.264,105.654


ElectricEquipment Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Equipment Level {W},Equipment/Floor Area {W/m2},Equipment per person {W/person},Fraction Latent,Fraction Radiant,Fraction Lost,Fraction Convected,End-Use SubCategory,Nominal Minimum Equipment Level {W},Nominal Maximum Equipment Level {W}
,1,DISHWASHER1,DISHWASHER,LIVING_UNIT1,220.82,3.0,65.699,0.298,21.900,0.150,0.600,0.250,0.000,dishwasher,0.000,58.932
,2,REFRIGERATOR1,REFRIGERATOR,LIVING_UNIT1,220.82,3.0,91.058,0.412,30.353,0.000,1.000,0.000,0.000,refrigerator,66.598,91.058
,3,CLOTHESWASHER1,CLOTHESWASHER,LIVING_UNIT1,220.82,3.0,28.478,0.129,9.493,0.000,0.800,0.200,0.000,clotheswasher,0.000,25.545
,4,ELECTRIC_DRYER1,CLOTHESDRYER,LIVING_UNIT1,220.82,3.0,213.065,0.965,71.022,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,213.065
,5,ELECTRIC_RANGE1,COOKINGRANGE,LIVING_UNIT1,220.82,3.0,248.154,1.124,82.718,0.300,0.400,0.300,0.000,electric_range,5.843,248.154
,6,TELEVISION1,INTERIORLIGHTING,LIVING_UNIT1,220.82,3.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,7,ELECTRIC_MELS1,MISCPLUGLOAD,LIVING_UNIT1,220.82,3.0,567.464,2.570,189.155,6.000E-002,0.690,0.250,0.000,electric_mels,293.392,567.464
,8,IECC_ADJ1,MISCPLUGLOAD,LIVING_UNIT1,220.82,3.0,340.847,1.544,113.616,6.244E-002,0.412,0.251,0.275,IECC_adj,176.226,340.847


Construction CTF

,,Construction Name,Index,#Layers,#CTFs,Time Step {hours},ThermalConductance {w/m2-K},OuterThermalAbsorptance,InnerThermalAbsorptance,OuterSolarAbsorptance,InnerSolarAbsorptance,Roughness
,1,EXTERIOR WALL,1,5,11,0.167,0.3586,0.900,0.900,0.700,0.700,MediumSmooth
,2,INTERIORFURNISHINGS,2,1,9,0.167,0.8000,0.900,0.900,0.700,0.700,MediumSmooth
,3,INTERIOR FLOOR,5,2,4,0.167,1.702,0.900,0.900,0.700,0.700,Rough
,4,INTERIOR CEILING,6,2,9,0.167,0.1787,0.900,0.900,0.700,0.700,Rough
,5,ATTIC FLOOR,7,2,9,0.167,0.1787,0.900,0.900,0.700,0.700,MediumSmooth
,6,EXTERIOR ROOF,11,2,4,0.167,5.358,0.900,0.900,0.750,0.700,MediumRough
,7,EXTERIOR DOOR,14,1,5,0.167,1.988,0.900,0.900,0.700,0.700,Smooth
,8,GABLE_END,16,5,6,0.167,2.431,0.900,0.900,0.700,0.700,MediumSmooth


Material CTF Summary

,,Material Name,Thickness {m},Conductivity {w/m-K},Density {kg/m3},Specific Heat {J/kg-K},ThermalResistance {m2-K/w}
,1,SYN_STUCCO,0.0030,0.086,400.000,878.640,0.3524E-01
,2,SHEATHING_CONSOL_LAYER,0.0127,0.094,685.008,1172.332,0.1351
,3,OSB_7/16IN,0.0111,0.116,544.627,1213.360,0.9555E-01
,4,WALL_CONSOL_LAYER,0.1397,0.057,120.801,1036.258,2.444
,5,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,6,STD WOOD 6INCH,0.1500,0.120,540.000,1210.000,1.250
,7,PLYWOOD_3/4IN,0.0191,0.115,544.680,674.540,0.1650
,8,CARPET_N_PAD,0.0254,0.060,32.037,836.800,0.4224
,9,CEIL_CONSOL_LAYER,0.3404,0.062,41.929,776.251,5.515
,10,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,11,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,12,CEIL_CONSOL_LAYER,0.3404,0.062,41.929,776.251,5.515
,13,ASPHALT_SHINGLE,0.0063,0.082,1121.292,1255.200,0.7745E-01
,14,OSB_1/2IN,0.0127,0.116,544.627,1213.360,0.1092
,15,DOOR_CONST,0.0362,0.072,512.640,767.580,0.5031
,16,CEMENT_STUCCO,0.0191,0.721,1865.580,878.640,0.2642E-01
,17,BLDG_PAPER_FELT,0.0000,0.000,0.000,0.000,0.1057E-01
,18,OSB_5/8IN,0.0159,0.116,544.627,1213.360,0.1365
,19,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01


Material:Air

,,Material Name,ThermalResistance {m2-K/w}
,1,AIR_4_IN_VERT,0.1585
,2,3/4IN_AIR_SPACE,8.5130E-002
,3,3/4IN_REFLECTIVE_AIR_SPACE,0.2466
,4,AIR_4_IN_VERT,0.1585


CTF

,,Time,Outside,Cross,Inside,Flux (except final one)
,1,11,-0.54724946E-11,-0.29353179E-14,-0.58361936E-11,0.17617726E-15
,2,10,0.24755928E-06,0.16971160E-13,0.58954555E-06,-0.42317085E-11
,3,9,-0.21700660E-03,0.26282512E-10,-0.34360792E-03,0.18634160E-06
,4,8,0.10400975E-01,0.16063655E-07,0.16710006E-01,-0.10459154E-03
,5,7,-0.18466841,0.14497582E-05,-0.31678806,0.33996447E-02
,6,6,1.6813335,0.30890211E-04,3.0392820,-0.45644738E-01
,7,5,-8.8640021,0.19737274E-03,-16.399456,0.32465800
,8,4,28.400945,0.41196590E-03,52.185337,-1.3315683
,9,3,-55.684303,0.27160336E-03,-99.213599,3.2198962
,10,2,64.740984,0.46773103E-04,110.17164,-4.4902555
,11,1,-40.701741,0.11975386E-05,-65.686261,3.3169381
,12,0,10.602230,0.29970883E-09,16.204438,
,13,9,-0.27580628E-02,0.97439125E-12,-0.27580628E-02,0.28516790E-03
,14,8,0.73590997E-01,0.21837543E-08,0.73590997E-01,-0.77836043E-02
,15,7,-0.82599318,0.23162835E-06,-0.82599318,0.89703933E-01
,16,6,5.1113916,0.48671053E-05,5.1113916,-0.57224845
,17,5,-19.214933,0.30163627E-04,-19.214933,2.2266322
,18,4,45.557404,0.63181060E-04,45.557404,-5.4853312
,19,3,-68.275533,0.44785456E-04,-68.275533,8.5710568
,20,2,62.555368,0.93952058E-05,62.555368,-8.2111738
,21,1,-31.904423,0.39200004E-06,-31.904423,4.3886678
,22,0,6.9260389,0.77047546E-09,6.9260389,
,23,4,0.50405178E-13,0.16668152E-13,0.29402090E-13,-0.58636069E-16
,24,3,-0.78967347E-05,0.18486376E-05,-0.51544008E-05,0.20741056E-12
,25,2,0.37655193,0.34407043E-01,0.80677627E-01,-0.16328896E-04
,26,1,-8.0349315,0.81344511,-1.1624309,0.21506451
,27,0,8.9946927,0.48845120,2.4180636,
,28,9,0.31317273E-16,0.43976111E-16,-0.51010803E-08,-0.79244996E-17
,29,8,0.10314517E-07,0.17751770E-12,0.26862918E-02,-0.67482234E-08
,30,7,-0.13705644E-02,0.40028327E-08,-0.11654797,0.89668923E-03
,31,6,0.30576439E-01,0.98448813E-06,1.6263884,-0.20536660E-01
,32,5,-0.27510174,0.27659598E-04,-10.843738,0.19078174
,33,4,1.2857204,0.17633394E-03,39.525931,-0.92707659
,34,3,-3.3542361,0.30839568E-03,-82.632562,2.5346738
,35,2,4.8749143,0.14245064E-03,98.418306,-3.8916659
,36,1,-3.6611134,0.12632440E-04,-61.889078,3.1091867
,37,0,1.1012792,0.58266065E-07,15.909284,
,38,9,-0.51010803E-08,0.43976111E-16,0.31317273E-16,-0.79244996E-17
,39,8,0.26862918E-02,0.17751770E-12,0.10314517E-07,-0.67482234E-08
,40,7,-0.11654797,0.40028327E-08,-0.13705644E-02,0.89668923E-03
,41,6,1.6263884,0.98448813E-06,0.30576439E-01,-0.20536660E-01
,42,5,-10.843738,0.27659598E-04,-0.27510174,0.19078174
,43,4,39.525931,0.17633394E-03,1.2857204,-0.92707659
,44,3,-82.632562,0.30839568E-03,-3.3542361,2.5346738
,45,2,98.418306,0.14245064E-03,4.8749143,-3.8916659
,46,1,-61.889078,0.12632440E-04,-3.6611134,3.1091867
,47,0,15.909284,0.58266065E-07,1.1012792,
,48,4,0.75441920E-10,0.23883683E-10,0.47514224E-10,-0.69373194E-20
,49,3,-0.33730907E-03,0.89366797E-04,-0.22574866E-03,0.77828620E-10
,50,2,0.58624422,0.18542418,0.49024360,-0.17301269E-03
,51,1,-11.299243,2.8799011,-8.6239668,0.15905732
,52,0,15.219762,1.4410112,12.640375,
,53,5,-0.24423608E-08,0.10315694E-08,-0.24423608E-08,0.46347327E-11
,54,4,0.46481418E-04,0.19988510E-04,0.46481418E-04,-0.22728163E-06
,55,3,-0.31887091E-01,0.95525843E-02,-0.31887091E-01,0.49135354E-03
,56,2,1.3495466,0.25081638,1.3495466,-0.51058024E-01
,57,1,-7.0688408,0.57876498,-7.0688408,0.58136590
,58,0,6.6836766,0.93387740E-01,6.6836766,
,59,6,0.97988530E-11,0.43917118E-12,0.24496810E-11,-0.34892153E-15
,60,5,-0.75005310E-05,0.16499726E-06,-0.28271466E-05,0.19166609E-11
,61,4,0.32354224E-01,0.66949565E-03,0.10283773E-01,-0.11111676E-05
,62,3,-1.8201547,0.67148336E-01,-0.62076152,0.38788549E-02
,63,2,21.173821,0.53241617,7.5279938,-0.97325542E-01
,64,1,-64.420211,0.46601667,-21.697519,0.64629334
,65,0,46.121323,0.20873329E-01,15.867130,


WindowConstruction

,,Construction Name,Index,#Layers,Roughness,Conductance {W/m2-K},Conductance (Before Adjusted) {W/m2-K},Convection Coefficient Adjustment Ratio,SHGC,Solar Transmittance at Normal Incidence,Visible Transmittance at Normal Incidence
,1,EXTERIOR WINDOW,12,1,VerySmooth,1.988,1.988,1.000,0.217,,
,2,INTERIOR WINDOW,13,1,VerySmooth,1.988,1.988,1.000,0.217,,
,3,WINDOW_W_BLINDS,18,2,VerySmooth,1.988,1.988,1.000,0.208,,
,4,TDD DOME,22,1,VerySmooth,6.082,6.082,1.000,0.929,,
,5,TDD DIFFUSER,23,1,VerySmooth,6.115,6.115,1.000,0.906,,


WindowMaterial:Glazing

,,Material Name,Optical Data Type,Spectral Data Set Name,Thickness {m},Solar Transmittance,Front Solar Reflectance,Back Solar Reflectance,Visible Transmittance,Front Visible Reflectance,Back Visible Reflectance,Infrared Transmittance,Front Thermal Emissivity,Back Thermal Emissivity,Conductivity {W/m-K},Dirt Factor,Solar Diffusing
,1,GLASS,SpectralAverage,,3.75008E-002,0.12813,0.66165,0.66165,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.11365,1.00000,No
,2,GLASS,SpectralAverage,,3.75008E-002,0.12813,0.66165,0.66165,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.11365,1.00000,No
,3,GLASS,SpectralAverage,,3.75008E-002,0.12813,0.66165,0.66165,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.11365,1.00000,No
,4,CLEAR ACRYLIC PLASTIC,SpectralAverage,,3.00000E-003,0.92000,5.00000E-002,5.00000E-002,0.92000,5.00000E-002,5.00000E-002,0.00000,0.90000,0.90000,0.90000,1.00000,No
,5,DIFFUSING ACRYLIC PLASTIC,SpectralAverage,,2.20000E-003,0.90000,8.00000E-002,8.00000E-002,0.90000,8.00000E-002,8.00000E-002,0.00000,0.90000,0.90000,0.90000,1.00000,No


WindowMaterial:Blind

,,Material Name,Slat Width {m},Slat Separation {m},Slat Thickness {m},Slat Angle {deg},Slat Beam Solar Transmittance,Slat Beam Solar Front Reflectance,Blind To Glass Distance {m}
,1,INT_BLIND,2.5000E-002,1.8750E-002,1.0000E-003,45.000,0.000,0.500,5.000E-002


Shadowing/Sun Position Calculations Annual Simulations

,,Shading Calculation Method,Shading Calculation Update Frequency Method,Shading Calculation Update Frequency {days},Maximum Figures in Shadow Overlap Calculations {},Polygon Clipping Algorithm,Pixel Counting Resolution,Sky Diffuse Modeling Algorithm,Output External Shading Calculation Results,Disable Self-Shading Within Shading Zone Groups,Disable Self-Shading From Shading Zone Groups to Other Zones
,1,PolygonClipping,Periodic,20,15000,SutherlandHodgman,512,SimpleSkyDiffuseModeling,No,No,No


Water Heater Information

,,Type,Name,Volume {m3},Maximum Capacity {W},Standard Rated Recovery Efficiency,Standard Rated Energy Factor
,1,WaterHeater:Mixed,WATER HEATER_UNIT1,0.1968,5500.0,1.064,0.9621


ZoneVentilation Airflow Stats Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Design Volume Flow Rate {m3/s},Volume Flow Rate/Floor Area {m3/s-m2},Volume Flow Rate/person Area {m3/s-person},ACH - Air Changes per Hour,Fan Type {Exhaust;Intake;Natural},Fan Pressure Rise {Pa},Fan Efficiency {},Equation A - Constant Term Coefficient {},Equation B - Temperature Term Coefficient {1/C},Equation C - Velocity Term Coefficient {s/m},Equation D - Velocity Squared Term Coefficient {s2/m2},Minimum Indoor Temperature{C}/Schedule,Maximum Indoor Temperature{C}/Schedule,Delta Temperature{C}/Schedule,Minimum Outdoor Temperature{C}/Schedule,Maximum Outdoor Temperature{C}/Schedule,Maximum WindSpeed{m/s}
,1,VENTILATION_UNIT1,ALWAYS_AVAIL,LIVING_UNIT1,220.82,3.0,0.000,0.000,0.000,0.000,Exhaust,0.000,0.6,1.000,0.000,0.000,0.000,-100.00,100.00,-100.00,-100.00,100.00,40.00


AirFlow Model

,,Simple
,1,Simple


RoomAir Model

,,Zone Name,Mixing/Mundt/UCSDDV/UCSDCV/UCSDUFI/UCSDUFE/User Defined
,1,LIVING_UNIT1,Mixing/Well-Stirred
,2,ATTIC_UNIT1,Mixing/Well-Stirred


AirflowNetwork Model:Control

,,No Multizone or Distribution/Multizone with Distribution/Multizone without Distribution/Multizone with Distribution only during Fan Operation
,1,MultizoneWithDistribution


AirflowNetwork Model:Equivalent Rectangle Surface

,,Name,Equivalent Height {m},Equivalent Width {m} AirflowNetwork Model:Equivalent Rectangle
,1,ROOF_RIGHT_UNIT1,1.51,4.55
,2,ROOF_LEFT_UNIT1,1.51,4.55


AirflowNetwork Model:Wind Direction

,,Wind Direction #1 to n (degree)
,1,0.0


AirflowNetwork Model:Wind Pressure Coefficients

,,Name,Wind Pressure Coefficients #1 to n (dimensionless)
,1,!WPCTABLE1,0.60
,2,!WPCTABLE2,-0.36
,3,!WPCTABLE3,-0.51
,4,!WPCTABLE4,-0.36
,5,!WPCTABLE5,-0.73


Zone Volume Capacitance Multiplier

,,Sensible Heat Capacity Multiplier,Moisture Capacity Multiplier,Carbon Dioxide Capacity Multiplier,Generic Contaminant Capacity Multiplier
,1,1.000,1.000,1.000,1.000


Load Timesteps in Zone Design Calculation Averaging Window

,,Value
,1,6


Heating Sizing Factor Information

,,Sizing Factor ID,Value
,1,Global,2.1000
,2,Zone LIVING_UNIT1,2.1000


Cooling Sizing Factor Information

,,Sizing Factor ID,Value
,1,Global,1.0000


Zone Sizing Information

,,Zone Name,Load Type,Calc Des Load {W},User Des Load {W},Calc Des Air Flow Rate {m3/s},User Des Air Flow Rate {m3/s},Design Day Name,Date/Time of Peak,Temperature at Peak {C},Humidity Ratio at Peak {kgWater/kgDryAir},Floor Area {m2},# Occupants,Calc Outdoor Air Flow Rate {m3/s},Calc DOAS Heat Addition Rate {W}
,1,LIVING_UNIT1,Cooling,4617.81491,4617.81491,0.32280,0.32280,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:20:00,36.09333,1.28139E-002,220.81784,3.00000,2.83168E-002,0.00000
,2,LIVING_UNIT1,Heating,5044.18338,10592.78510,0.15088,0.31685,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00,-6.50000,2.22024E-003,220.81784,3.00000,2.83168E-002,0.00000


System Sizing Information

,,System Name,Load Type,Peak Load Kind,User Design Capacity,Calc Des Air Flow Rate [m3/s],User Des Air Flow Rate [m3/s],Design Day Name,Date/Time of Peak
,1,CENTRAL SYSTEM_UNIT1,Cooling,Sensible,4960.39,0.32280,0.32280,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 05:00:00
,2,CENTRAL SYSTEM_UNIT1,Heating,Sensible,11402.80,0.31685,0.31685,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00


Component Sizing Information

,,Component Type,Component Name,Input Field Description,Value
,1,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1,User-Specified Supply Air Flow Rate [m3/s],2.83168E-002
,2,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1,User-Specified Exhaust Air Flow Rate [m3/s],2.83168E-002
,3,Fan:OnOff,OASUPPLYFAN_UNIT1,User-Specified Maximum Flow Rate [m3/s],2.83168E-002
,4,Fan:OnOff,OAEXHAUSTFAN_UNIT1,User-Specified Maximum Flow Rate [m3/s],2.83168E-002
,5,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1,User-Specified Nominal Supply Air Flow Rate [m3/s],2.83168E-002
,6,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1,Design Size Maximum Air Flow Rate [m3/s],0.32280
,7,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Maximum Heating Flow Rates [m3/s],0.32280
,8,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Minimum Heating Flow Rates [m3/s],0.32280
,9,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Maximum Flow Rates [m3/s],0.32280
,10,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Adjusted Heating Design Air Flow Rate [m3/s],0.32280
,11,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Adjusted Cooling Design Air Flow Rate [m3/s],0.32280
,12,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Adjusted Main Design Air Flow Rate [m3/s],0.32280
,13,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,User Heating Air Flow Ratio [],1.00000
,14,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Calculated Heating Air Flow Ratio [],1.00000
,15,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Design Supply Air Flow Rate [m3/s],0.32280
,16,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,Design Size Rated Air Flow Rate [m3/s],0.32280
,17,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,Design Size Gross Rated Total Cooling Capacity [W],6537.25164
,18,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,Design Size Gross Rated Sensible Heat Ratio,0.77151
,19,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Supply Air Flow Rate [m3/s],0.32280
,20,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Supply Air Flow Rate During Heating Operation [m3/s],0.32280
,21,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Supply Air Flow Rate During Cooling Operation [m3/s],0.32280
,22,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Nominal Cooling Capacity [W],6537.25164
,23,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Fraction of Supply Air Flow That Goes Through the Controlling Zone,1.00000
,24,Fan:OnOff,SUPPLY FAN_UNIT1,Design Size Maximum Flow Rate [m3/s],0.32280
,25,Coil:Heating:Electric,MAIN ELECTRIC HEATING COIL_UNIT1,User-Specified Nominal Capacity [W],11404.11100
,26,PlantLoop,DHW LOOP_UNIT1,Maximum Loop Flow Rate [m3/s],4.93808E-004
,27,PlantLoop,DHW LOOP_UNIT1,Plant Loop Volume [m3],5.92569E-002
,28,Pump:VariableSpeed,MAINS PRESSURE_UNIT1,Design Flow Rate [m3/s],4.93808E-004
,29,WaterHeater:Mixed,WATER HEATER_UNIT1,Maximum Heater Capacity [W],5500.00000
,30,WaterHeater:Mixed,WATER HEATER_UNIT1,Use Side Design Flow Rate [m3/s],4.93808E-004


DX Cooling Coil Standard Rating Information

,,Component Type,Component Name,Standard Rating (Net) Cooling Capacity {W},Standard Rated Net COP {W/W},EER {Btu/W-h},SEER User {Btu/W-h},SEER Standard {Btu/W-h},IEER {Btu/W-h}
,1,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,6286.7,3.39,11.56,12.25,11.78,11.97
,2,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,6234.7,3.27,11.15,11.80,11.67,


Environment

,,Environment Name,Environment Type,Start Date,End Date,Start DayOfWeek,Duration {#days},Source:Start DayOfWeek,Use Daylight Saving,Use Holidays,Apply Weekend Holiday Rule,Use Rain Values,Use Snow Values,Sky Temperature Model
,1,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,SizingPeriod:DesignDay,01/21,01/21,WinterDesignDay,1,N/A,N/A,N/A,N/A,N/A,N/A,Clark and Allen
